116.97 MB	scipy
71.71 MB	sympy
66.36 MB	pandas
42.44 MB	sklearn
41.37 MB	onnxruntime
36.4 MB	numpy.libs
32.36 MB	kubernetes
31.67 MB	numpy
19.33 MB	scipy.libs
17.57 MB	sqlalchemy
15.36 MB	networkx
15.15 MB	langchain_community
15.02 MB	PIL
14.1 MB	mypy
11.41 MB	grpc
10.02 MB	pip
9.8 MB	cryptography
7.99 MB	pygments
5.94 MB	openai
5.74 MB	setuptools
5.52 MB	pydantic_core
4.83 MB	google
4.83 MB	pymongo
4.62 MB	mpmath
4.45 MB	langchain
4.36 MB	mypyc
3.73 MB	passlib
3.63 MB	pydantic
3.09 MB	pypdf
2.97 MB	opentelemetry
2.71 MB	langchain_core
2.7 MB	chromadb
2.53 MB	_pytest
2.5 MB	aiohttp
2.42 MB	dns
2.1 MB	rich
2.05 MB	tiktoken
1.98 MB	joblib
1.87 MB	pkg_resources
1.77 MB	pyasn1_modules
1.72 MB	langsmith
1.7 MB	regex
1.68 MB	xlsxwriter
1.68 MB	fsspec
1.53 MB	posthog
1.38 MB	coverage
1.32 MB	ecdsa
1.28 MB	websockets
1.26 MB	langchain_experimental
1.24 MB	fastapi
1.19 MB	pycparser
1.15 MB	jinja2
1.06 MB	black
1.06 MB	anyio
1.04 MB	oauthlib
0.96 MB	pytz
0.93 MB	greenlet
0.85 MB	urllib3
0.82 MB	click
0.8 MB	cffi
0.79 MB	pyasn1
0.76 MB	watchfiles
0.73 MB	bson
0.72 MB	dateutil
0.72 MB	yaml
0.7 MB	pyflakes
0.69 MB	isort
0.67 MB	pyreadline3
0.63 MB	websocket
0.62 MB	httpx
0.62 MB	humanfriendly
0.61 MB	idna
0.61 MB	starlette
0.6 MB	httpcore
0.55 MB	pandas.libs
0.54 MB	pypika
0.52 MB	__pycache__
0.5 MB	uvicorn
0.5 MB	tzdata
0.49 MB	motor
0.45 MB	jiter
0.45 MB	markdown_it
0.43 MB	prometheus_client
0.43 MB	charset_normalizer
0.41 MB	attr
0.41 MB	marshmallow
0.41 MB	blib2to3
0.4 MB	requests
0.37 MB	tqdm
0.37 MB	typer
0.37 MB	pydantic_settings
0.36 MB	flake8
0.35 MB	gridfs
0.33 MB	packaging
0.31 MB	sympy-1.14.0.dist-info
0.31 MB	bcrypt
0.3 MB	scipy-1.16.3.dist-info
0.29 MB	pulsar
0.29 MB	requests_toolbelt
0.28 MB	certifi
0.27 MB	coloredlogs
0.26 MB	importlib_resources
0.26 MB	yarl
0.26 MB	pandas-2.3.3.dist-info
0.24 MB	jose
0.22 MB	orjson
0.22 MB	langchain-0.1.17.dist-info
0.22 MB	flatbuffers
0.22 MB	numpy-1.26.4.dist-info
0.2 MB	httptools
